Date,Equipment,Handedness,"Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"Jan 19, 2022 09:06:19 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",61,48,46,63,11.1,78,4,78,75,-33,2.81,0.17,19.2,,,
"Jan 19, 2022 09:06:12 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",73,37,55,61.5,15,90,-3,60,77,-31,3.48,0.13,20.6,,,
"Jan 19, 2022 09:06:00 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",64,47,49,52.1,12.5,81,-37,66,86,-44,2.23,0.15,18.9,,,
"Jan 13, 2022 02:40:02 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,57,57,67.5,15.6,78,4,75,87,-28,3.74,0.15,20.5,,,
"Jan 13, 2022 02:39:43 PM","Avenge Pro Composite BBCOR",Right,"General Practice",71,41,55,64.8,15.2,88,-5,63,81,-35,3.64,0.14,20.1,,,
"Jan 13, 2022 02:39:27 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,54,55,55.9,15,70,6,75,85,-28,2.41,0.16,19.5,,,
"Jan 13, 2022 02:39:19 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,42,52,61,13.8,81,5,63,82,-34,2.97,0.15,20.7,,,
"Jan 13, 2022 02:39:01 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,48,56,54.1,15.4,80,2,66,89,-32,2.5,0.14,19.7,,,
"Jan 13, 2022 02:38:50 PM","Avenge Pro Composite BBCOR",Right,"General Practice",53,48,50,57.1,12.9,70,11,70,83,-29,2.45,0.16,18.7,,,
"Jan 13, 2022 02:38:39 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,34,52,59.1,13.6,83,10,49,82,-41,2.56,0.17,21.9,,,
"Jan 13, 2022 02:38:31 PM","Avenge Pro Composite BBCOR",Right,"General Practice",55,38,56,57.7,15.4,72,12,57,83,-38,2.54,0.16,20.6,,,
"Jan 13, 2022 02:38:22 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,44,58,59,16.3,71,11,61,86,-34,2.71,0.16,21.4,,,
"Jan 13, 2022 02:38:15 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,40,57,60.4,15.7,78,3,55,87,-38,2.71,0.17,22,,,
"Jan 13, 2022 02:35:29 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,49,51,66.7,13.3,76,7,74,80,-28,3.47,0.16,19.8,,,
"Jan 13, 2022 02:35:22 PM","Avenge Pro Composite BBCOR",Right,"General Practice",60,38,54,64.3,14.4,77,10,66,74,-28,3.22,0.16,20.5,,,
"Jan 13, 2022 02:35:14 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,47,53,67,14.2,76,8,72,79,-26,3.64,0.15,19.7,,,
"Jan 13, 2022 02:35:07 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,43,61,61.3,17.3,79,2,66,81,-29,3.09,0.15,21.7,,,
"Jan 13, 2022 02:34:55 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,37,51,63.4,13.5,84,-3,61,76,-31,3.18,0.16,21,,,
"Jan 13, 2022 02:34:42 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,54,48,59.5,12.1,79,6,78,82,-23,2.83,0.15,19.7,,,
"Jan 13, 2022 02:34:32 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,37,53,64.5,14.3,81,10,60,76,-27,3.13,0.16,21.4,,,
"Jan 13, 2022 02:34:12 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,39,50,66.7,12.7,82,4,63,78,-33,3.56,0.15,20.7,,,
"Jan 13, 2022 02:33:57 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,37,49,56.6,12.5,84,-5,59,77,-34,2.47,0.16,19.9,,,
"Jan 13, 2022 02:31:08 PM","Avenge Pro Composite BBCOR",Right,"General Practice",71,44,49,65.1,12.4,87,8,65,83,-27,3.62,0.14,21.4,,,
"Jan 13, 2022 02:30:58 PM","Avenge Pro Composite BBCOR",Right,"General Practice",71,56,46,55.7,11.1,88,1,75,87,-23,2.48,0.15,18.1,,,
"Jan 13, 2022 02:30:49 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,42,53,65,13.9,83,2,64,80,-31,3.56,0.15,21.4,,,
"Jan 13, 2022 02:30:41 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,65,50,65.6,13,74,1,84,84,-29,3.54,0.15,19.4,,,
"Jan 13, 2022 02:30:25 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,58,50,57.8,12.7,76,-3,81,82,-28,2.6,0.16,19.6,,,
"Jan 13, 2022 02:30:06 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,38,49,65,12.6,79,10,59,80,-30,3.1,0.17,22,,,
"Jan 13, 2022 02:29:58 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,44,48,60.4,12,78,-2,67,81,-35,2.71,0.17,20.4,,,
"Jan 13, 2022 02:29:50 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,45,50,62.7,13,79,10,70,79,-30,2.88,0.17,21.1,,,
"Jan 13, 2022 02:29:41 PM","Avenge Pro Composite BBCOR",Right,"General Practice",55,45,48,61.9,11.9,72,10,72,78,-27,2.77,0.17,21.4,,,
"Jan 13, 2022 02:29:34 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,40,46,66.7,11.4,81,-4,64,79,-37,3.26,0.17,21.5,,,
"Jan 13, 2022 02:29:26 PM","Avenge Pro Composite BBCOR",Right,"General Practice",63,44,55,59.9,14.8,80,4,67,81,-30,2.87,0.15,21,,,
"Jan 13, 2022 02:26:00 PM","Avenge Pro Composite BBCOR",Right,"General Practice",63,57,51,59.1,13.3,79,5,77,85,-22,2.8,0.15,18.8,,,
"Jan 13, 2022 02:25:52 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,44,57,64.2,15.7,84,-5,67,81,-32,3.58,0.14,21.2,,,
"Jan 13, 2022 02:25:41 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,47,60,61.1,16.8,73,12,71,81,-25,3.03,0.15,20.6,,,
"Jan 13, 2022 02:25:34 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,49,55,64.2,15.1,71,11,75,80,-24,3.03,0.17,20.5,,,
"Jan 13, 2022 02:25:25 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,54,54,66.5,14.6,82,3,73,87,-29,3.79,0.14,20.4,,,
"Jan 13, 2022 02:25:08 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,55,52,53.5,13.9,72,7,78,83,-30,2.23,0.16,19.2,,,
"Jan 13, 2022 02:24:59 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,44,53,55.4,14,81,-4,67,82,-32,2.49,0.15,19.2,,,
"Jan 13, 2022 02:24:50 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,32,50,63.3,12.8,84,6,49,79,-35,2.97,0.17,22,,,
"Jan 13, 2022 02:24:42 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,44,62,62.7,17.7,73,7,67,81,-35,3.1,0.16,20,,,
"Jan 13, 2022 02:24:27 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,41,48,58.3,11.9,87,-1,61,83,-33,2.68,0.16,20.5,,,
"Jan 13, 2022 02:21:12 PM","Avenge Pro Composite BBCOR",Right,"General Practice",68,42,51,66.2,13.5,85,5,65,81,-27,3.38,0.16,22.1,,,
"Jan 13, 2022 02:21:04 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,45,50,62.7,12.9,82,7,67,82,-27,3.07,0.16,22.7,,,
"Jan 13, 2022 02:20:47 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,59,46,60.9,11.3,82,5,81,83,-23,2.93,0.16,21,,,
"Jan 13, 2022 02:20:39 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,55,51,59.8,13.3,81,3,79,82,-26,2.97,0.15,21.3,,,
"Jan 13, 2022 02:20:29 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,57,49,59.5,12.4,81,9,77,86,-22,2.79,0.16,21.4,,,
"Jan 13, 2022 02:20:22 PM","Avenge Pro Composite BBCOR",Right,"General Practice",69,43,51,59.1,13.1,86,0,65,82,-32,2.95,0.15,21.4,,,
"Jan 13, 2022 02:20:13 PM","Avenge Pro Composite BBCOR",Right,"General Practice",68,44,51,64.5,13.5,85,11,67,81,-20,3.42,0.15,22.4,,,
"Jan 13, 2022 02:19:57 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,55,52,70.6,13.7,84,4,74,86,-24,4.45,0.14,21.4,,,
"Jan 13, 2022 02:19:50 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,46,47,59.7,11.5,84,5,68,83,-26,2.85,0.15,22.6,,,
"Jan 13, 2022 02:19:40 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,57,47,60.9,11.5,79,9,81,82,-21,2.9,0.16,19.8,,,
"Jan 13, 2022 02:16:46 PM","Avenge Pro Composite BBCOR",Right,"General Practice",68,49,53,67,14.1,85,-1,69,85,-29,3.9,0.14,21.3,,,
"Jan 13, 2022 02:16:36 PM","Avenge Pro Composite BBCOR",Right,"General Practice",53,66,54,63.3,14.4,70,7,84,84,-23,2.94,0.17,20.1,,,
"Jan 13, 2022 02:16:29 PM","Avenge Pro Composite BBCOR",Right,"General Practice",55,53,53,60.8,14,71,7,78,80,-27,2.78,0.16,19.6,,,
"Jan 13, 2022 02:16:18 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,51,48,64.7,12.1,82,9,75,81,-21,3.35,0.15,19.7,,,
"Jan 13, 2022 02:16:09 PM","Avenge Pro Composite BBCOR",Right,"General Practice",66,50,51,60.5,13.1,82,2,73,82,-26,2.97,0.15,20.6,,,
"Jan 13, 2022 02:16:01 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,57,50,59.4,12.8,74,5,81,81,-27,2.72,0.16,20,,,
"Jan 13, 2022 02:15:53 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,64,53,57.4,14.2,73,8,84,83,-21,2.54,0.16,18.8,,,
"Jan 13, 2022 02:15:45 PM","Avenge Pro Composite BBCOR",Right,"General Practice",55,56,55,57.7,14.8,72,7,79,83,-28,2.63,0.16,20.5,,,
"Jan 13, 2022 02:15:38 PM","Avenge Pro Composite BBCOR",Right,"General Practice",60,70,45,59.1,11,77,5,85,85,-26,2.66,0.16,19.1,,,
"Jan 13, 2022 02:15:23 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,51,54,58.7,14.4,78,-4,76,80,-32,2.83,0.15,19.6,,,
"Jan 13, 2022 02:15:15 PM","Avenge Pro Composite BBCOR",Right,"General Practice",72,42,52,61.4,13.6,88,3,63,82,-29,3.23,0.14,21.1,,,
"Jan 13, 2022 02:15:07 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,44,55,65.9,14.7,87,2,64,84,-31,4,0.13,21.7,,,
"Jan 13, 2022 02:15:01 PM","Avenge Pro Composite BBCOR",Right,"General Practice",63,49,57,61.6,15.7,80,1,70,85,-34,3.12,0.15,20.7,,,
"Jan 13, 2022 02:11:25 PM","Avenge Pro Composite BBCOR",Right,"General Practice",54,54,41,63.9,9.2,70,5,99,79,-18,3.14,0.16,19,,,
"Jan 13, 2022 02:11:15 PM","Avenge Pro Composite BBCOR",Right,"General Practice",59,63,52,65,13.8,76,3,86,80,-23,3.57,0.15,19.7,,,
"Jan 13, 2022 02:11:07 PM","Avenge Pro Composite BBCOR",Right,"General Practice",65,58,50,59.2,12.9,82,6,85,78,-18,2.92,0.15,18.8,,,
"Jan 13, 2022 02:10:58 PM","Avenge Pro Composite BBCOR",Right,"General Practice",69,48,55,64.2,14.9,86,-2,73,80,-26,3.79,0.13,21.9,,,
"Jan 13, 2022 02:10:49 PM","Avenge Pro Composite BBCOR",Right,"General Practice",58,66,51,62.5,13.5,75,-1,91,81,-23,3.34,0.14,20,,,
"Jan 13, 2022 02:10:41 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,50,50,65.2,12.9,84,5,76,80,-20,3.59,0.15,21.8,,,
"Jan 13, 2022 02:10:31 PM","Avenge Pro Composite BBCOR",Right,"General Practice",68,48,50,68.4,13.1,85,5,72,81,-22,4.01,0.14,20.9,,,
"Jan 13, 2022 02:10:24 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,62,56,65.3,15.3,79,4,84,82,-21,3.64,0.14,20,,,
"Jan 13, 2022 02:10:16 PM","Avenge Pro Composite BBCOR",Right,"General Practice",68,42,45,62,10.9,85,0,67,79,-29,3.16,0.15,21.7,,,
"Jan 13, 2022 02:10:08 PM","Avenge Pro Composite BBCOR",Right,"General Practice",61,63,54,66.1,14.4,78,5,85,82,-21,3.84,0.14,20.2,,,
"Jan 13, 2022 02:10:01 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,56,62,68.4,17.6,81,0,78,83,-25,4.58,0.13,20.7,,,
"Jan 13, 2022 02:03:41 PM","Avenge Pro Composite BBCOR",Right,"General Practice",48,52,41,57,9,65,15,86,71,-8,2.18,0.18,20.5,,,
"Jan 13, 2022 02:03:32 PM","Avenge Pro Composite BBCOR",Right,"General Practice",75,47,46,63.4,11.4,92,11,76,76,-18,2.99,0.17,21,,,
"Jan 13, 2022 02:03:26 PM","Avenge Pro Composite BBCOR",Right,"General Practice",58,59,35,58.9,6.8,74,5,89,76,-18,2.51,0.17,19.7,,,
"Jan 13, 2022 02:03:18 PM","Avenge Pro Composite BBCOR",Right,"General Practice",56,58,44,56.5,10.4,73,9,91,76,-12,2.37,0.17,18.6,,,
